direction,model,source,reference,output
eng_to_trg,gpt-4o,"Leslie Aun, a spokesperson for the Komen Foundation, said the organization adopted a new rule that does not allow grants or funding to be awarded to organizations that are under legal investigation.","lezli ˤan, maqyantət ˤkomen ˤfaundešən, məra ˤsazman qbəlla xalta ˤqayda ki ˤijaza la-hiwala ki fəsse ˤmaya hawile ba-d-une ˤsazmanət ki baat xaqira ilu","Leslie Aun, batkíra d-áy Komen Foundation, kə́mmet ki orgánizada áfila xət qánuna xílé ki la-parsannà grantánu fixlá l-organizadotínu mla réwáva qošàr èstruxátuna."
eng_to_trg,claude-sonnet,"Leslie Aun, a spokesperson for the Komen Foundation, said the organization adopted a new rule that does not allow grants or funding to be awarded to organizations that are under legal investigation.","lezli ˤan, maqyantət ˤkomen ˤfaundešən, məra ˤsazman qbəlla xalta ˤqayda ki ˤijaza la-hiwala ki fəsse ˤmaya hawile ba-d-une ˤsazmanət ki baat xaqira ilu","Lèsli Àun, xa-nóša-d-mamqélanə d-ay-Komen Fàwndešən, əmrə́ ki-ay-knùšta xa-qàyda xdirə́la xdàtta ki-là šaqéla fəssé yán məddè l-knùšte d-ítwa-lu b-+xqìqta qanùnàyta."
eng_to_trg,gemini-flash,"Leslie Aun, a spokesperson for the Komen Foundation, said the organization adopted a new rule that does not allow grants or funding to be awarded to organizations that are under legal investigation.","lezli ˤan, maqyantət ˤkomen ˤfaundešən, məra ˤsazman qbəlla xalta ˤqayda ki ˤijaza la-hiwala ki fəsse ˤmaya hawile ba-d-une ˤsazmanət ki baat xaqira ilu","Leslie Aun, +šummāná d-áy Komen Foundation, mə́ra ki-munažamà xa-+qayda tàza qbulà-wədla, kí la-qablà +xleé yán fəssé +paltí ba-munažamè kí +g-tahqicàtət qanunà-ílu."
eng_to_trg,llama-70b,"Leslie Aun, a spokesperson for the Komen Foundation, said the organization adopted a new rule that does not allow grants or funding to be awarded to organizations that are under legal investigation.","lezli ˤan, maqyantət ˤkomen ˤfaundešən, məra ˤsazman qbəlla xalta ˤqayda ki ˤijaza la-hiwala ki fəsse ˤmaya hawile ba-d-une ˤsazmanət ki baat xaqira ilu","Lesli Aun, +qabyáná d-áy Fondasyón Kómen, ámrá Fondasyón Kómen řšáwla qāy dáná jdidá, d-ílá mətiná tátaw tawıyé b-krátéwelá lá-š bachēw lá-organizasyón d-ílu lá-ťaqdā́ hqūqī."
eng_to_trg,gpt-4o,"Already reporting in English and Japanese, the global organization is launching Spanish, Italian, and Korean-language programs, for television, the web, and mobile devices.","xen xabar hiwala gaat ingəlisi inan ˤžapani, ˤsazman ˤjahani ˤbarname ˤbašlamiš wada b-lišanət ˤəspanyayne, ˤətalyayne, inan ˤkoreayne ˤba-televəzyon, ˤradio, inan ˤtelefone ˤmobil","akadxə nén xa-ənglizì u-yapanì, +huda +organizátiyon +dalənše +španì, ìtalì u-+koranì pərnáz uba telévezión, ày-wéb, u-mobilè grapnaye."
eng_to_trg,claude-sonnet,"Already reporting in English and Japanese, the global organization is launching Spanish, Italian, and Korean-language programs, for television, the web, and mobile devices.","xen xabar hiwala gaat ingəlisi inan ˤžapani, ˤsazman ˤjahani ˤbarname ˤbašlamiš wada b-lišanət ˤəspanyayne, ˤətalyayne, inan ˤkoreayne ˤba-televəzyon, ˤradio, inan ˤtelefone ˤmobil","Kbar maqla-wéla b-Ənglízi u-Yapanáyi, ay-jamiyét ay-álami +palóta mamqelá španáyi, italyáyi u-koryáyi, b-ótağ telvízyun, intérneti u-+mobáyli."
eng_to_trg,gemini-flash,"Already reporting in English and Japanese, the global organization is launching Spanish, Italian, and Korean-language programs, for television, the web, and mobile devices.","xen xabar hiwala gaat ingəlisi inan ˤžapani, ˤsazman ˤjahani ˤbarname ˤbašlamiš wada b-lišanət ˤəspanyayne, ˤətalyayne, inan ˤkoreayne ˤba-televəzyon, ˤradio, inan ˤtelefone ˤmobil","ka-átta b-Inglìz-u b-Japonìy xabré k-yawìwa, ya jəmyatə́t ay-dunyè kuxdarà xabré b-Spanyolìy u b-Italianìy u b-Koreìy ba-tlevizyòn, ba-web u ba-mubayìl."
eng_to_trg,llama-70b,"Already reporting in English and Japanese, the global organization is launching Spanish, Italian, and Korean-language programs, for television, the web, and mobile devices.","xen xabar hiwala gaat ingəlisi inan ˤžapani, ˤsazman ˤjahani ˤbarname ˤbašlamiš wada b-lišanət ˤəspanyayne, ˤətalyayne, inan ˤkoreayne ˤba-televəzyon, ˤradio, inan ˤtelefone ˤmobil","ítwa létwa xa-+šultána d-+ʻālam, m-otáġ abér ənglizi, yapuni, ixalé šółané d-+ Špańol, Talioni, Kori, b-+télévíźon, wéb, mobáyl."
eng_to_trg,gpt-4o,"In this resonance, magnetic field and radio waves cause atoms to give off tiny radio signals.","g-d-ay ˤrezonans, ˤmidan ˤmağnatisi inan ˤamwajət ˤradio god ˤatome ˤsəgnalət ˤradio zore ˤpaltilu","qášti dé manušətá, mánezdí lóka ápto tišárman rabít əvə́loz tánen rə́ndé."
eng_to_trg,claude-sonnet,"In this resonance, magnetic field and radio waves cause atoms to give off tiny radio signals.","g-d-ay ˤrezonans, ˤmidan ˤmağnatisi inan ˤamwajət ˤradio god ˤatome ˤsəgnalət ˤradio zore ˤpaltilu",b-áy rezunàns| xqəl magnétik u-galláni rādyo| gármelu l-átome ki šdáru sinyalé zorè d-rādyo.
